id,name,driver,user_strategy,remin_strategy,result,gap_seconds,created_at
113,31,VER,Soft (10L) → Med (15L) → Hard (27L),Soft (16L) → Med (18L) → Hard (18L),lose,0.602,2026-03-24 13:53:46.433211+00
114,Vishal,VER,Soft (13L) → Med (25L) → Soft (14L),Med (30L) → Soft (22L),lose,5.269,2026-03-24 13:58:16.10951+00
115,Vishal,VER,Soft (15L) → Hard (37L),Soft (20L) → Hard (32L),win,1.366,2026-03-24 13:59:15.994929+00
116,Anonymous,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (13L) → Med (18L) → Hard (21L),lose,0.296,2026-03-24 14:00:05.699432+00
117,31,VER,Soft (10L) → Med (15L) → Hard (27L),Soft (12L) → Soft (12L) → Hard (28L),lose,0.17,2026-03-24 14:04:24.101552+00
118,Anonymous,RUS,Med (28L) → Hard (24L),Med (26L) → Soft (14L) → Hard (12L),win,0.26,2026-03-24 14:04:37.282937+00
119,Saran,LEC,Soft (18L) → Med (21L) → Hard (13L),Soft (15L) → Hard (37L),win,0.22,2026-03-24 14:05:01.175359+00
120,31,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),win,2.756,2026-03-24 14:10:40.133252+00
121,31,LEC,Soft (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),lose,1.404,2026-03-24 14:13:29.591582+00
122,3,VER,Soft (22L) → Med (30L),Med (30L) → Soft (22L),win,7.001,2026-03-24 14:20:12.38266+00
123,3,RUS,Soft (17L) → Med (18L) → Hard (17L),Soft (20L) → Hard (32L),win,0.449,2026-03-24 14:21:28.722411+00
124,31,NOR,Soft (20L) → Hard (32L),Med (30L) → Soft (22L),lose,1.416,2026-03-24 14:38:59.194407+00
125,31,ALB,Med (20L) → Hard (32L),Hard (25L) → Med (18L) → Soft (9L),lose,4.65,2026-03-24 14:41:23.078024+00
126,31,NOR,Soft (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),lose,1.324,2026-03-24 14:45:37.911481+00
127,31,VER,Soft (17L) → Hard (22L) → Soft (13L),Hard (20L) → Soft (17L) → Med (15L),lose,1.456,2026-03-24 14:49:16.449715+00
128,G,NOR,Soft (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),win,0.676,2026-03-24 14:50:23.635726+00
129,31,VER,Soft (17L) → Soft (22L) → Soft (13L),Med (30L) → Soft (22L),win,7.147,2026-03-24 14:57:01.303602+00
130,13,LEC,Soft (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),lose,1.404,2026-03-24 15:08:29.156655+00
131,Anonymous,NOR,Med (25L) → Hard (27L),Soft (20L) → Hard (32L),lose,0.319,2026-03-24 15:15:26.13839+00
132,13,ALB,Hard (33L) → Med (19L),Hard (25L) → Med (18L) → Soft (9L),lose,5.332,2026-03-24 15:20:40.819111+00
133,Anonymous,ALB,Med (30L) → Med (22L),Soft (12L) → Soft (12L) → Hard (28L),win,1.416,2026-03-24 15:23:24.353845+00
134,Anonymous,RUS,Soft (17L) → Med (25L) → Soft (10L),Soft (20L) → Hard (32L),lose,0.855,2026-03-24 15:25:26.148515+00
135,Anonymous,RUS,Soft (18L) → Hard (34L),Soft (15L) → Hard (37L),lose,0.706,2026-03-24 15:26:27.645044+00
136,Rohith,VER,Soft (17L) → Med (18L) → Hard (17L),Soft (15L) → Hard (37L),win,2.756,2026-03-24 15:26:36.607429+00
137,Remin,VER,Soft (14L) → Med (24L) → Soft (14L),Med (30L) → Soft (22L),lose,4.411,2026-03-24 15:27:27.323981+00
138,Anonymous,NOR,Soft (11L) → Med (26L) → Soft (15L),Med (22L) → Hard (30L),win,2.418,2026-03-24 15:28:03.191647+00
139,Nan Than da Leo,LEC,Soft (16L) → Med (17L) → Hard (19L),Med (22L) → Hard (30L),win,0.778,2026-03-24 15:29:41.956644+00
140,Anonymous,LEC,Soft (13L) → Med (23L) → Soft (16L),Soft (20L) → Hard (32L),win,8.625,2026-03-24 15:30:21.526776+00
141,Ajay,RUS,Soft (13L) → Med (25L) → Soft (14L),Soft (20L) → Hard (32L),lose,0.159,2026-03-24 15:33:56.295034+00
142,Anonymous,NOR,Soft (20L) → Hard (32L),Soft (20L) → Hard (32L),win,5.134,2026-03-24 15:33:57.055621+00
143,Anonymous,NOR,Med (24L) → Hard (28L),Soft (15L) → Hard (37L),win,2.666,2026-03-24 15:34:29.117298+00
144,Zen,VER,Soft (14L) → Hard (20L) → Med (18L),Soft (15L) → Hard (37L),lose,0.022,2026-03-24 15:36:19.345501+00
145,Zen,VER,Soft (15L) → Hard (18L) → Med (19L),Soft (15L) → Hard (37L),win,1.396,2026-03-24 15:37:16.869292+00
146,Gowtham23,VER,Med (17L) → Hard (18L) → Soft (17L),Soft (15L) → Hard (37L),win,2.328,2026-03-24 15:43:38.839418+00
147,Ajay,NOR,Hard (18L) → Hard (20L) → Soft (14L),Hard (25L) → Med (18L) → Soft (9L),win,1.278,2026-03-24 15:46:51.105102+00
148,Ajay,VER,Soft (12L) → Hard (26L) → Med (14L),Med (22L) → Hard (30L),win,2.692,2026-03-24 15:50:27.033695+00
149,Ajay,LEC,Soft (16L) → Med (24L) → Hard (12L),Soft (15L) → Hard (37L),lose,0.81,2026-03-24 16:00:57.02556+00
150,Anonymous,ALB,Soft (12L) → Med (26L) → Soft (14L),Soft (17L) → Med (19L) → Hard (16L),lose,0.45,2026-03-24 16:11:08.30805+00
151,Anonymous,ALB,Med (18L) → Med (18L) → Soft (16L),Soft (13L) → Med (18L) → Hard (21L),lose,0.35,2026-03-24 16:13:22.387975+00
152,Anonymous,ALB,Med (18L) → Med (21L) → Med (13L),Hard (25L) → Med (18L) → Soft (9L),lose,3.776,2026-03-24 16:17:29.096011+00
153,Anonymous,LEC,Soft (18L) → Med (21L) → Soft (13L),Soft (13L) → Med (18L) → Hard (21L),win,9,2026-03-24 16:18:06.615899+00
154,Anonymous,VER,Hard (10L) → Med (26L) → Soft (16L),Soft (16L) → Med (18L) → Hard (18L),lose,1.28,2026-03-24 16:19:14.579315+00
155,Anonymous,VER,Med (16L) → Soft (17L) → Hard (19L),Soft (15L) → Hard (37L),win,1.84,2026-03-24 16:20:06.899963+00
156,Anonymous,RUS,Med (16L) → Soft (20L) → Med (16L),Soft (15L) → Hard (37L),win,2.133,2026-03-24 16:20:57.117743+00
157,Anonymous,NOR,Hard (30L) → Soft (22L),Soft (15L) → Hard (37L),win,2.425,2026-03-24 16:21:55.029751+00
158,Anonymous,ALB,Hard (30L) → Soft (22L),Hard (20L) → Soft (17L) → Med (15L),win,0.094,2026-03-24 16:22:30.238156+00
159,Anonymous,LEC,Med (30L) → Soft (22L),Med (30L) → Soft (22L),win,2.841,2026-03-24 16:23:03.927402+00
160,Anonymous,LEC,Hard (35L) → Med (17L),Soft (17L) → Med (19L) → Hard (16L),win,0.388,2026-03-24 16:23:46.667895+00
161,Saran,LEC,Med (31L) → Soft (21L),Med (30L) → Soft (22L),win,2.281,2026-03-24 16:24:54.250966+00
162,Saran,LEC,Med (19L) → Soft (24L) → Med (9L),Soft (20L) → Hard (32L),win,2.531,2026-03-24 16:25:40.218739+00
163,Saran,LEC,Hard (19L) → Soft (24L) → Soft (9L),Soft (13L) → Med (18L) → Hard (21L),win,1.803,2026-03-24 16:26:28.021048+00
164,Saran,LEC,Med (19L) → Soft (24L) → Med (9L),Soft (20L) → Hard (32L),win,2.531,2026-03-24 16:27:32.420989+00
165,Saran,LEC,Med (30L) → Soft (22L),Med (30L) → Soft (22L),win,2.841,2026-03-24 16:28:21.814133+00
166,Saran,LEC,Hard (30L) → Soft (22L),Soft (20L) → Hard (32L),lose,5.122,2026-03-24 16:28:54.140202+00
167,Saran,LEC,Med (24L) → Med (28L),Med (30L) → Soft (22L),lose,8.002,2026-03-24 16:29:31.615548+00
168,Saran,LEC,Soft (23L) → Med (29L),Med (30L) → Soft (22L),lose,2.366,2026-03-24 16:30:24.351735+00
169,Saran,LEC,Soft (23L) → Med (29L),Med (30L) → Soft (22L),win,4.834,2026-03-24 16:30:54.429988+00
170,Saran,LEC,Hard (32L) → Soft (20L),Soft (20L) → Hard (32L),win,3.054,2026-03-24 16:31:44.205516+00
171,Ajay,VER,Soft (13L) → Hard (26L) → Med (13L),Soft (17L) → Med (19L) → Hard (16L),lose,0.132,2026-03-24 16:32:21.515248+00
172,Saran,LEC,Hard (21L) → Med (14L) → Soft (17L),Soft (17L) → Med (19L) → Hard (16L),win,0.68,2026-03-24 16:32:38.117133+00
173,Saran,LEC,Hard (19L) → Med (14L) → Soft (19L),Soft (15L) → Hard (37L),lose,1.692,2026-03-24 16:33:19.276676+00
174,Ajay,VER,Soft (13L) → Hard (26L) → Med (13L),Soft (17L) → Med (19L) → Hard (16L),lose,0.132,2026-03-24 16:33:28.776997+00
175,Saran,LEC,Hard (15L) → Med (18L) → Soft (19L),Soft (20L) → Hard (32L),lose,3.163,2026-03-24 16:33:54.987408+00
176,Saran,LEC,Soft (15L) → Soft (20L) → Med (17L),Med (30L) → Soft (22L),lose,4.642,2026-03-24 16:34:36.274452+00
177,Saran,LEC,Soft (23L) → Med (29L),Med (30L) → Soft (22L),win,3.234,2026-03-24 16:35:30.392537+00
178,Saran,LEC,Med (31L) → Soft (21L),Med (30L) → Soft (22L),win,2.281,2026-03-24 16:35:57.111175+00
179,Saran,LEC,Med (29L) → Soft (23L),Med (30L) → Soft (22L),win,2.434,2026-03-24 16:36:15.570408+00
180,Ajay,VER,Soft (10L) → Med (32L) → Hard (10L),Med (22L) → Hard (30L),win,1.067,2026-03-24 16:36:37.316411+00
181,Saran,LEC,Med (20L) → Soft (17L) → Med (15L),Soft (20L) → Hard (32L),win,2.225,2026-03-24 16:36:44.035647+00
182,Saran,LEC,Med (20L) → Soft (17L) → Med (15L),Soft (13L) → Med (18L) → Hard (21L),win,1.48,2026-03-24 16:37:35.022833+00
183,Saran,LEC,Med (20L) → Soft (17L) → Med (15L),Soft (13L) → Med (18L) → Hard (21L),win,1.48,2026-03-24 16:38:12.753683+00
184,Saran,LEC,Hard (20L) → Med (32L),Soft (15L) → Hard (37L),lose,1.451,2026-03-24 16:38:41.705431+00
185,Saran,LEC,Hard (20L) → Med (32L),Soft (15L) → Hard (37L),lose,1.451,2026-03-24 16:39:01.891686+00
186,Saran,LEC,Med (20L) → Soft (32L),Med (30L) → Soft (22L),lose,3.414,2026-03-24 16:39:29.886309+00
187,Saran,LEC,Med (20L) → Soft (32L),Med (30L) → Soft (22L),win,0.586,2026-03-24 16:39:45.5501+00
188,Saran,LEC,Med (27L) → Soft (25L),Med (30L) → Soft (22L),win,3.52,2026-03-24 16:40:09.748609+00
189,Saran,LEC,Hard (27L) → Soft (25L),Soft (20L) → Hard (32L),win,6.637,2026-03-24 16:40:33.583549+00
190,Saran,LEC,Med (34L) → Soft (18L),Med (30L) → Soft (22L),lose,0.397,2026-03-24 16:42:01.932268+00
